pool_id,chain,symbol,project,stablecoin,count
b4210a91-1140-4c3c-b69f-a20240d1596f,BSC,BNB,lisusd,False,728
201e5f6e-cf75-4d0e-b07f-d58da3cee23a,Ethereum,WSTETH-AAVE,balancer-v2,False,268
1e5da7c6-59bb-49bd-9f97-4f4fceeffad4,Ethereum,WETH,compound-v2,False,997
8ac917c6-12fa-49df-aa0b-ced2ebe54e91,Ethereum,WISE-WETH,uniswap-v2,False,932
7ee6c38b-ac42-4388-88dc-389140276cf8,Ethereum,AAVE,aave-v3,False,636
03406d3a-fcc4-4fe3-8809-7a95222951b6,Ethereum,WBTC,spark,False,348
665dc8bc-c79d-4800-97f7-304bf368e547,Ethereum,USDC-WETH,uniswap-v3,False,925
47917c0b-795e-48ec-abec-4cd67a8bddc7,Solana,SOL-HAMSTER,orca,False,3
b847133f-f5d5-4692-b74e-d815d51988fc,Ethereum,LINK,aave-v3,False,636
9be76d1d-734c-435d-bcbf-f0d2704e84d0,Ethereum,PT-SUSDE-26DEC2024-DAI,morpho-blue,False,15
d19fdacb-e7ce-400c-b62d-d195fe4a84a9,Base,USDC-AERO,aerodrome-v1,False,301
abced696-4921-4bcc-9e1a-ac5164833e47,Ethereum,PT-SUSDE-27MAR2025-DAI,morpho-blue,False,15
57d30b9c-fc66-4ac2-b666-69ad5f410cce,Ethereum,ETH-STETH,curve-dex,False,990
4e6cd326-72d5-4680-8d2f-3481d50e8bb1,Ethereum,ETH+,reserve-protocol,False,486
03af06cd-c9a5-4a90-ae45-01abf907297a,Solana,SOL-FLOCK,orca,False,1
aa70268e-4b52-42bf-a116-608b370f9501,Ethereum,USDC,aave-v3,True,636
da5e182c-b440-4b80-ab54-c1bc94a4ffd4,Avalanche,SAVAX,benqi-lending,False,817
4df7d373-6214-4a73-9bd3-ca6e5683d846,Arbitrum,GMX,gmx-v1,False,892
ff2a68af-030c-4697-b0a1-b62a738eaef0,Ethereum,GHO,aave-v3,True,183
5317ec43-005e-472b-87a4-eb402b49d394,Filecoin,IFIL,glif,False,427
2fd993e9-2dcb-46a4-ae11-bdb2933bb77e,Core,SOLVBTC.M,colend-protocol,False,77
f1a22245-a1f1-4389-8ff2-dde4914b272d,Ethereum,RETH,aave-v3,False,629
dcb371f9-7a83-425f-8e59-4be44ccd476d,Ethereum,CBBTC,solv-funds,False,26
bcbcda53-f75e-4b99-9b5b-84a6d2cafb3b,Ethereum,WBTC,solv-funds,False,68
4c874c14-fa8f-4eba-a92c-fc87298976b6,Ethereum,FBTC,solv-funds,False,116
58d18059-f1d1-45ed-acd3-f386e98cc506,Polygon,WBTC,aave-v3,False,819
5b8c0691-b9ff-4d82-97e4-19a1247e6dbf,Arbitrum,WBTC.B-USDC,gmx-v2-perps,False,389
4d01599c-69ae-41a3-bae1-5fab896f04c8,Ethereum,OSETH,stakewise-v2,False,315
e65588a1-27ad-4e20-9232-68a6cfaccf63,Ethereum,USDS,aave-v3,True,35
b045e406-9862-4338-ace3-8a3537e2e564,Sui,SCRAT-SUI,cetus-amm,False,120
30ec19f3-4cba-4fc4-958b-50655cb7fb5a,Solana,SOL-PAWS,orca,False,1
0a842b8b-c003-4f6c-8f4e-b231c4cdaec8,Avalanche,BTC.B,benqi-lending,False,817
ff8364e8-9cb3-4872-a9f3-2c883acb9e23,Bitcoin,BTC-RUNE,thorchain,False,913
e3dc3d1e-d095-4372-bcd9-6dc187c7b4bf,Ethereum,HKDM-USDM,uniswap-v3,False,165
96f5ef5e-e9b2-46a0-9f42-4ea429ddc42e,Mode,M-BTC,ionic-protocol,False,13
23843c50-687f-4863-a9bb-0c625d4d92a3,Aptos,STAPT,aries-markets,False,273
77d2b349-d745-42ef-a848-a3a80941426c,Ethereum,SOLVBTC.BBN(CORN),pendle,False,48
cd887bf9-7fc3-49e8-9cf7-6fc1098ed311,Ethereum,SOLVBTC.BBN(CORN),pendle,False,48
e62bcb01-ed4c-4ec9-8cfa-e86e7ccf7688,Arbitrum,WSTETH,aave-v3,False,613
a6e72e7f-348e-44c5-ada1-d605d8cc5799,Solana,SOL-JDO,orca,False,1
4438dabc-7f0c-430b-8136-2722711ae663,Ethereum,USDC,fluid-lending,True,159
e8e1e547-e5a2-4816-b8dc-fabe1af1270a,Solana,SOL-PEPU,orca,False,1
3698fd1a-7e78-4d12-a732-4fb4b58bac09,Solana,SOL-JDO,orca,False,1
e3fe5615-ecd5-40b5-a61c-5c9af5f4668e,Ethereum,UNIBTC(CORN),pendle,False,46
262ad887-d26f-4c81-9e31-870801e3b04b,Ethereum,UNIBTC(CORN),pendle,False,46
a61791ea-2886-4428-991c-7181d26a6062,Ethereum,FPI-FRAX,frax,True,806
c0921c0f-51aa-45b8-87e3-5eec59a6972b,Ethereum,SUSDE-DAI,morpho-blue,True,220
3ebae7dd-d7b6-4406-a6a8-032aa23502ad,Ethereum,EZETH,compound-v3,False,113
bf8415af-68b5-47f2-97bf-3de4b96c6cac,Solana,SOL-PEPU,orca,False,2
4583ba83-7e1d-4d10-b41f-c71b81665d55,Scroll,WEETH,aave-v3,False,92
4e8cc592-c8d5-4824-8155-128ba521e903,Ethereum,USDT,fluid-lending,True,159
ad383eed-61d8-4378-80bd-a197d9a11c79,Ethereum,UNIETH,bedrock-unieth,False,323
0827aa12-5831-47f0-b5ba-549294a2032b,Ethereum,WBTC,compound-v3,False,34
9c2bff87-4f12-470d-bf13-b5b59f495dc5,Cronos,CDCETH,crypto.com-staked-eth,False,154
196aa543-1881-4515-9928-577693d4fa72,Ethereum,WETH-USDT,uniswap-v2,False,896
423681e3-4787-40ce-ae43-e9f67c5269b3,Ethereum,OETH,origin-ether,False,519
8751078b-6be1-403b-ac44-9f11fe87d400,Ethereum,RETH,spark,False,460
e72916f7-a2d1-47ad-a4b9-2b054337cfd6,Ethereum,ETH,instadapp-lite,False,621
f8ffbfd7-7448-45f4-9cc4-f8c1185489a2,Sui,SUI,navi-lending,False,375
1cd84e8d-4c06-4bf8-a2b0-c378b5cd8c5f,Base,DOLA-USDC,aerodrome-v1,True,301
f3cd2ed2-e35e-47af-8fb7-ecb4fa96ff26,Solana,SOL-SWELL,orca,False,1
6722e2c7-22a1-496b-bf9c-b7cdee023c78,Ethereum,USD0--,pendle,False,21
74f696d4-1a0e-4a1a-8392-14b714ec3ce6,Ethereum,USD0--,pendle,False,21
db97a89f-8361-44c1-8872-13a7f463545a,Solana,SOL-ZFI,orca,False,1
702fff16-4bfa-4c1f-8c02-e0ea0f5ecde6,Ethereum,USDC-WETH,uniswap-v2,False,896
525b2dab-ea6a-4cbc-a07f-84ce561d1f83,Solana,SOL,kamino-lend,False,352
4c139e6e-1a29-496e-b916-7edd07069340,Ton,TON-USD₮,ston.fi,False,146
12ca9565-0369-404e-b209-631305e4012a,Ethereum,FRAX-USDE,curve-dex,True,307
32d65ccd-5c07-4b45-8441-98bc86c0720a,Ethereum,USUALUSDC+,morpho-blue,True,102
ef32dd3b-a03b-4f79-9b65-8420d7e04ad0,Ethereum,CVXCRV,convex-finance,False,777
13392973-be6e-4b2f-bce9-4f7dd53d1c3a,Gnosis,SDAI,sdai,True,394
e2cff1b1-3216-4cc6-b27f-9c23a9cce94b,Ethereum,DEUSD-USDC,curve-dex,True,103
acee1e4d-a73c-4e20-98f7-e87c13d446e4,Ethereum,APXETH,dinero-(pxeth),False,291
1193ef25-862b-43c1-a545-91bbb9678d30,Ethereum,DAI-USDC,uniswap-v3,True,925
f38a1e55-ee6a-427c-83b5-74232e1b2c24,Ethereum,G-UNI,makerdao,False,662
94c6fd56-9837-4202-9ece-db02a9ac1171,Ethereum,DAI-USDC,arrakis-v1,True,849
fc9f488e-8183-416f-a61e-4e5c571d4395,Ethereum,WETH-USDT,uniswap-v3,False,945
a8a60a49-4a0d-4ba4-93ec-2b3006a71b2d,Base,USDC-AERO,extra-finance,False,270
5fac4a47-5360-49b7-8b61-66f88a3d939f,Ethereum,FRAX-USDE,convex-finance,True,233
78d2982e-7806-4090-96d9-9ac10f002e60,Solana,SOL-SMILE,orca,False,4
f0131970-afac-4835-b22c-520f192e01d5,Base,WEETH,aave-v3,False,156
2d1aa052-64c0-4c2c-82a0-db39062f04ab,Ethereum,WBTC-USDC,morpho-blue,False,260
23676f13-f8c7-4865-ae69-e757395828ee,Solana,MSOL,kamino-lend,False,352
79dc038f-359b-40bd-96f9-ccbd08394526,Sui,MOVE-SUI,cetus-amm,False,26
0d7111e0-e35b-4bd9-9c3f-ddf7ce60ced0,Solana,SOL-STARS,orca,False,2
cd92f25e-db4e-45a2-815c-6a74da471b21,Ethereum,USD0++-USDC,morpho-blue,True,101
9bc7e16c-c84d-4e8e-8403-e249bfe203ae,Solana,SOL-PEPU,orca,False,4
cdd76d41-5f1e-42ac-9498-d4762a856530,Solana,SOL-LINGO,orca,False,1
091d0a85-32a7-4701-8ab0-33465a987735,Sui,GRO-SUI,cetus-amm,False,114
bc58a174-05f8-4e41-8f77-be9c13a614bf,Ethereum,USD0-USD0++,curve-dex,True,124
5ce23e7e-3800-4c9c-ad30-6db3db0515a1,Ethereum,ETH-STETH,convex-finance,False,996
49717ee2-9808-4288-b76d-e658195b7979,Ethereum,USDC-WETH,uniswap-v3,False,925
4463a574-b5bd-4879-816f-f15f37687373,Solana,SOL-DOGEN,orca,False,2
992d00f3-d43f-44fe-8b62-987e8610c9a8,Ethereum,SUSDE,pendle,True,109
104f1152-d692-4e9f-9e79-db1dddd70891,Ethereum,SUSDE,pendle,True,109
61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,Arbitrum,ETH-USDC,gmx-v2-perps,False,389
e41c04d6-53b7-4e36-8de0-edda6f627103,Base,MWETH,morpho-blue,False,139
867aff4c-33fc-4591-940a-019549d5a8af,Solana,MSOL,save,False,888
dac406f6-5600-437e-849d-f03daa383864,Tron,USDT,justlend,True,851
d59a5728-d391-4989-86f6-a94e11e0eb3b,Ethereum,WBTC-WETH,uniswap-v3,False,945
c4f1e434-3386-4f48-b0ac-dc89782dfa55,Ethereum,TBTC,aave-v3,False,44
2fca7a84-651c-440a-beb3-eced492a7bea,Cronos,VVS-WCRO,vvs-standard,False,832
ee0d9358-2995-46b8-a62e-9ab0f28c6b81,Ethereum,PUMPBTC(CORN),pendle,False,41
a23e2b97-ff92-4ebf-8c7d-171cad8431ad,Ethereum,PUMPBTC(CORN),pendle,False,41
f8438a79-bcb4-4ea2-98d8-35de49a494b3,Solana,SOL-GUNZ,orca,False,6
47ce0e90-6c63-46b6-b55c-219bebee8211,Ton,TON-USDT,dedust,False,142
825688c0-c694-4a6b-8497-177e425b7348,Arbitrum,WBTC-ETH-USDC-DAI-FRAX-LINK-UNI-USDT,gmx-v1,False,892
9f3a6015-5045-4471-ba65-ad3dc7c38269,BSC,USDT,venus-core-pool,True,852
d5a5e303-325e-4b01-a2dc-96494eef2f8b,Ethereum,SFRXETH,fraxlend,False,486
af241622-7d27-4afe-98cb-53dfef00e0c4,Starknet,ETH,nostra-money-market,False,358
7d114ce1-2af1-42c3-a719-406fbbc3ed92,Ethereum,WSTETH-USDC,morpho-blue,False,260
c4a6c2f7-8469-4147-b484-20bb2f08c108,Solana,SOL-JDO,orca,False,5
2e8227a0-adb5-4b06-8202-8a39dac042ce,Solana,SOL-FLOCK,orca,False,3
de8928ad-d03a-423d-92d7-3c4648e3ffd2,BSC,ETH,venus-core-pool,False,851
007d03bd-4987-4b3b-b7d2-2f3af42fa4b4,Ethereum,WSTETH,compound-v3,False,34
d41e9750-3ba4-460c-8cec-ef7d446977a4,Sui,VAPOR-SUI,cetus-amm,False,214
e26ce7d9-db75-4aa4-b1db-cc21ae17bdfb,Ethereum,DAI,spark,True,530
c47eea82-1e3d-4b66-8777-278b8db1dd77,Ethereum,WSTETH,compound-v3,False,99
